# Strain, Stress
0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,8.171301477976207650e+01
8.000000000000000167e-03,1.633270484587972646e+02
1.200000000000000198e-02,2.439313464460050795e+02
1.600000000000000033e-02,3.143548624612487288e+02
2.000000000000000042e-02,3.686050672689292469e+02
2.400000000000000397e-02,4.118057611271121345e+02
2.800000000000000405e-02,4.474523543263914007e+02
3.200000000000000067e-02,4.750443353638304984e+02
3.600000000000000422e-02,4.948208517438008016e+02
4.000000000000000083e-02,5.085694643960886197e+02
4.400000000000000439e-02,5.232631051149537598e+02
4.800000000000000794e-02,5.332252491049017635e+02
5.200000000000000455e-02,5.427128504318804971e+02
5.600000000000000810e-02,5.505380692307443269e+02
5.999999999999999778e-02,5.581638391134116546e+02
6.400000000000000133e-02,5.670488249687022062e+02
6.800000000000000488e-02,5.694866605951356178e+02
7.200000000000000844e-02,5.786697736411900905e+02
7.600000000000001199e-02,5.830198606749725059e+02
8.000000000000000167e-02,5.855970139052025161e+02
4.000000000000000083e-02,-2.254249325844653242e+02
