y	Bi=0	Bi=2	Bi=5	Bi=20
0	0	0	0	0
0.01	-0.0066	-0.0003	-0.0002	-0.0001
0.02	-0.013	-0.0006	-0.0003	-0.0002
0.03	-0.0191	-0.0008	-0.0004	-0.0003
0.04	-0.025	-0.0011	-0.0005	-0.0004
0.05	-0.0306	-0.0014	-0.0007	-0.0005
0.06	-0.036	-0.0017	-0.0008	-0.0006
0.07	-0.0413	-0.002	-0.0009	-0.0006
0.08	-0.0463	-0.0024	-0.0011	-0.0007
0.09	-0.0512	-0.0028	-0.0012	-0.0008
0.1	-0.056	-0.0033	-0.0013	-0.0009
0.11	-0.0607	-0.0039	-0.0015	-0.001
0.12	-0.0653	-0.0046	-0.0016	-0.001
0.13	-0.0697	-0.0055	-0.0017	-0.0011
0.14	-0.0741	-0.0065	-0.0019	-0.0012
0.15	-0.0784	-0.0079	-0.0021	-0.0013
0.16	-0.0827	-0.0094	-0.0024	-0.0014
0.17	-0.0869	-0.0113	-0.0026	-0.0015
0.18	-0.091	-0.0134	-0.003	-0.0016
0.19	-0.0951	-0.0158	-0.0033	-0.0017
0.2	-0.0992	-0.0185	-0.0037	-0.0018
0.21	-0.1032	-0.0215	-0.0042	-0.002
0.22	-0.1072	-0.0248	-0.0049	-0.0021
0.23	-0.1112	-0.0283	-0.0057	-0.0023
0.24	-0.1152	-0.0322	-0.0067	-0.0025
0.25	-0.1192	-0.0364	-0.0079	-0.0026
0.26	-0.1231	-0.0407	-0.0094	-0.0028
0.27	-0.127	-0.0454	-0.0113	-0.003
0.28	-0.1309	-0.0503	-0.0135	-0.0032
0.29	-0.1347	-0.0554	-0.0161	-0.0035
0.3	-0.1386	-0.0607	-0.0193	-0.0038
0.31	-0.1424	-0.0663	-0.023	-0.0041
0.32	-0.1463	-0.072	-0.0271	-0.0045
0.33	-0.15	-0.0779	-0.0318	-0.005
0.34	-0.1538	-0.0839	-0.0368	-0.0056
0.35	-0.1575	-0.0901	-0.0423	-0.0063
0.36	-0.1611	-0.0964	-0.0483	-0.0072
0.37	-0.1646	-0.1028	-0.0545	-0.0084
0.38	-0.1681	-0.1092	-0.0611	-0.01
0.39	-0.1715	-0.1157	-0.068	-0.0122
0.4	-0.1748	-0.1222	-0.075	-0.0151
0.41	-0.178	-0.1286	-0.0823	-0.0187
0.42	-0.1811	-0.135	-0.0897	-0.0231
0.43	-0.184	-0.1413	-0.0972	-0.0283
0.44	-0.1867	-0.1474	-0.1047	-0.0343
0.45	-0.1893	-0.1534	-0.1122	-0.041
0.46	-0.1917	-0.1592	-0.1196	-0.0483
0.47	-0.1938	-0.1648	-0.1268	-0.056
0.48	-0.1957	-0.17	-0.1338	-0.064
0.49	-0.1974	-0.1749	-0.1404	-0.072
0.5	-0.1988	-0.1795	-0.1467	-0.0797
0.51	-0.1998	-0.1836	-0.1524	-0.0873
0.52	-0.2005	-0.1872	-0.1576	-0.0942
0.53	-0.2007	-0.1902	-0.1621	-0.1004
0.54	-0.2006	-0.1927	-0.1659	-0.1055
0.55	-0.2	-0.1944	-0.1687	-0.1094
0.56	-0.1989	-0.1954	-0.1707	-0.112
0.57	-0.1972	-0.1955	-0.1714	-0.1131
0.58	-0.195	-0.1948	-0.1711	-0.1129
0.59	-0.1922	-0.193	-0.1695	-0.1117
0.6	-0.1886	-0.1902	-0.1667	-0.11
0.61	-0.1845	-0.1864	-0.1632	-0.1079
0.62	-0.1796	-0.1815	-0.159	-0.1055
0.63	-0.1738	-0.1758	-0.1544	-0.103
0.64	-0.1671	-0.1695	-0.1497	-0.1005
0.65	-0.1596	-0.163	-0.1448	-0.0978
0.66	-0.1512	-0.1564	-0.14	-0.0951
0.67	-0.1417	-0.1497	-0.135	-0.0924
0.68	-0.1312	-0.1429	-0.1301	-0.0896
0.69	-0.1197	-0.1362	-0.1251	-0.0868
0.7	-0.107	-0.1294	-0.1201	-0.084
0.71	-0.0928	-0.1227	-0.1151	-0.0812
0.72	-0.0776	-0.1159	-0.1101	-0.0784
0.73	-0.0609	-0.109	-0.105	-0.0755
0.74	-0.043	-0.1022	-0.0999	-0.0726
0.75	-0.0235	-0.095	-0.0949	-0.0698
0.76	-0.0024	-0.0869	-0.0897	-0.0668
0.77	0.0202	-0.0767	-0.0846	-0.0639
0.78	0.0447	-0.0634	-0.0794	-0.061
0.79	0.0705	-0.0472	-0.074	-0.058
0.8	0.0983	-0.0276	-0.068	-0.055
0.81	0.1275	-0.005	-0.0603	-0.052
0.82	0.1587	0.0211	-0.0487	-0.0489
0.83	0.1917	0.0506	-0.032	-0.0458
0.84	0.2263	0.083	-0.0103	-0.0426
0.85	0.2628	0.119	0.017	-0.0393
0.86	0.301	0.158	0.0495	-0.0357
0.87	0.341	0.2001	0.0873	-0.0316
0.88	0.3829	0.2457	0.1307	-0.0243
0.89	0.4263	0.2942	0.1791	-0.0094
0.9	0.4715	0.3458	0.2328	0.0187
0.91	0.5182	0.4002	0.2912	0.0612
0.92	0.5666	0.4575	0.3542	0.1177
0.93	0.6165	0.5175	0.4219	0.1885
0.94	0.6677	0.5799	0.4933	0.271
0.95	0.7202	0.6446	0.5686	0.3647
0.96	0.7742	0.7118	0.648	0.4704
0.97	0.8293	0.7814	0.7318	0.5891
0.98	0.8854	0.8527	0.8185	0.7171
0.99	0.9423	0.9256	0.9078	0.854
1	1	1	1	1
